question;reponse
Qu'est ce que le taux d'ouverture?;Le taux d’ouverture permet de contrôler et garantir le respect de l’objet social des Juniors, le caractère désintéressé de la gestion de l’association et sa multiplicité (non-exclusivité). Ainsi, son application permet de s’assurer que la Junior n’est pas renfermée sur elle-même au sein de son éco-système et qu’elle profite à un maximum de personnes dans son école. La CNJE impose certains quotas minimum.
Comment est calculé le taux d'ouverture?;1 - taux de fermeture (Celui-ci est calculé en divisant le total des rétributions brutes signées par les administrateurs par le total des rétributions brutes signées pendant le mandat. C’est donc un taux global sur un mandat, il n’est pas nécessaire de le respecter sur chaque étude)
Quel est le taux d'ouverture conseillé par la CNJE?;100%
Peut-on signer une Convention d’Etude plusieurs jours avant le début effectif de la mission ? ;"Tout à fait, pour cela il suffit de changer la date de début de mission de l'article ""délai"" de la Convention d'Etude."
Une Junior peut-elle travailler pour un client qui est un particulier ? ;Aucun problème, en dehors des prestations de formations, qui ne peuvent pas être réalisées a des particuliers ou pour le compte d'organismes de formation.
Une signature scannée a-t-elle une valeur légale ? ;En droit civil, dont dépendent les Juniors, les documents scannés n'ont aucune valeur légale. Par conséquent, les signatures doivent être des originales ou électroniques.
Est-il possible de sous-traiter à une entreprise/association qui ne fait pas partie du mouvement ? ;Oui, la sous-traitance sera facturée en frais au client final. Attention, la charte de déontologie demande de privilégier les structures du mouvement pour les sous traitances donc c'est uniquement si la compétence recherchée ne se retrouve dans aucune JE.
Peut-on faire une ristourne à un client?;Oui. Si étude tjr en cours: avenant à la CE en indiquant les JEH impactés. Si étude terminée: faire une réduction commerciale globale, pour cela, il faudra émettre une facture d'avoir 
Peut-on contraindre l’intervenant à assurer la garantie s’il quitte l’établissement avant la fin de la période ?;Non il faut le remplacer 
Tous les types de publicité sont autorisés en junior;Vrai mais elle ne doit pas être agressive
La cotisation est obligatoire pour être administrateur d'une junior?;Non, chaque JE la fixe dans ses statuts mais elle peut être de 0€
Qu'est ce qu'une étude Pro Bono?;Une étude en Junior est dite « Pro-bono » lorsqu’elle est réalisée de manière totalement bénévole pour un Client. En ça, le Client n’a pas à payer la Junior, et les intervenants ne sont pas toujours rétribués.
Est-il possible de participer à un salon en tant qu’exposant même si cela est payant ?;"Cela est autorisé à condition que l'argument de vente soit :
Transparent, sur le statut d'association étudiante à vocation pédagogique et non agressif, en ne comparant pas nos tarifs attractifs"
Peut-on acheter une base de données pour prospecter ?;Cela est tout à fait possible. Il faudra cependant respecter les droits liés à la RGPD pour chaque prospect présent dans la BDD.
Est-il possible d’indemniser les étudiants avant paiement du client ?;Tout à fait. Pour pouvoir procéder au paiement des intervenants, le Procès-Verbal de Recette doit être signé et l'intervenant doit avoir rempli un Rapport Pédagogique
Qu'est ce qu'un RM (Récapitulatif de mission)?;"Pour chacune des missions que vient à réaliser l’étudiant, le Récapitulatif de Mission précisera : La mission de l’étudiant ; Les dates de réalisation de la mission (date de début et date de fin) ; La rétribution prévue (nombre de JEH et montant brut de la rétribution associée)."
Quel est l'intérêt de la CCA par rapport à la CE ? ;Pour découper une grosse étude en plusieurs (avec des BC) et dans le cas de la réalisation de plusieurs études pour un même client. 
Citer 3 éléments qui permettent de chiffrer une étude au mieux;Anciennes études, intervenants, anciens, professeurs...
Citer 3 éléments qui justifient d'utiliser un avenant;Délai, budget, cahier des charges, méthodologie...
Combien de temps dure la garantie après une CE/CCA ? ;De 15 jours à 3 mois.
Peut-on faire un avenant à un avenant?;Non, chaque avenant annule et remplace le précédent. Il doit prendre en compte ce qui était initialement défini dans la Convention et donc reprendre ce qui a été énoncé dans les avenants précédents.
Peux-t-on utiliser n'importe quel logiciel pour réaliser une signature électronique ? ;Non, il est interdit depuis 2021 de réaliser des signatures électroniques avec des logiciels gratuits car ces derniers n’offrent pas la même couverture légale que le paiement d’une licence.
Citer les 5 acteurs du suivi d'étude;Président, Trésorier, Intervenant, Chargé d'étude, membre pole quali
Est-il possible d’écrire la date de signature à la main sur les documents contractuels ?;Oui 
Est-il possible de prolonger la durée de garantie en cours d’étude ou après signature du Procès-Verbal de Recette Finale (PVRF) ?;En cours d'étude, oui c'est possible en faisant un avenant. Si le PVRF est signé c'est impossible.
